fecha_captura,Equipo,GF,GC
2026-06-22,Vélez Sarsfield,18,12
2026-06-22,Rosario Central,20,16
2026-06-22,Belgrano [n. 1],17,13
2026-06-22,Talleres (C),17,13
2026-06-22,Gimnasia y Esgrima (LP),19,19
2026-06-22,Independiente,24,20
2026-06-22,Lanús,18,15
2026-06-22,Huracán,17,13
2026-06-22,San Lorenzo,14,14
2026-06-22,Unión,24,20
2026-06-22,Racing Club,17,15
2026-06-22,Instituto,17,17
2026-06-22,Barracas Central,15,15
2026-06-22,Tigre,18,15
2026-06-22,Defensa y Justicia,18,21
2026-06-22,Sarmiento (J),13,20
2026-06-22,Gimnasia y Esgrima (M),14,22
2026-06-22,Banfield,17,19
2026-06-22,Platense,10,15
2026-06-22,Central Córdoba (SdE),11,21
2026-06-22,Newell's Old Boys,15,27
2026-06-22,Atlético Tucumán,15,20
2026-06-22,Deportivo Riestra,5,12
2026-06-22,Aldosivi,6,19
2026-06-22,Estudiantes (RC),5,24
